prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket,fluency_metric_rule,target_read_time_seconds,min_fluent_time_seconds,max_fluent_time_seconds,target_wcpm,min_expected_wcpm,max_expected_wcpm,pace_feedback_rule,pace_mastery_required
M2-RW001,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Cat,cat,cat,easy,1.0,True,False,"K AE T",K,AE,T,CVC,CVC_short_a_at,vowel_sound,"{""id"":""M2-RW001"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":1,""display_text"":""Cat"",""expected_answer"":""cat"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""cat"",""word_family"":""at"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""cat"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,C,at_family,at,c,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:cat,ok,,,,,,,,,,,
M2-RW002,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Bat,bat,bat,easy,1.0,True,False,"B AE T",B,AE,T,CVC,CVC_short_a_at,vowel_sound,"{""id"":""M2-RW002"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":2,""display_text"":""Bat"",""expected_answer"":""bat"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""bat"",""word_family"":""at"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""bat"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,B,at_family,at,b,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:bat,ok,,,,,,,,,,,
M2-RW003,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Hat,hat,hat,easy,1.0,True,False,"HH AE T",HH,AE,T,CVC,CVC_short_a_at,vowel_sound,"{""id"":""M2-RW003"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":3,""display_text"":""Hat"",""expected_answer"":""hat"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""hat"",""word_family"":""at"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""hat"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,H,at_family,at,h,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:hat,ok,,,,,,,,,,,
M2-RW004,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Mat,mat,mat,easy,1.0,True,False,"M AE T",M,AE,T,CVC,CVC_short_a_at,vowel_sound,"{""id"":""M2-RW004"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":4,""display_text"":""Mat"",""expected_answer"":""mat"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""mat"",""word_family"":""at"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""mat"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,M,at_family,at,m,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:mat,ok,,,,,,,,,,,
M2-RW005,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Sat,sat,sat,easy,1.0,True,False,"S AE T",S,AE,T,CVC,CVC_short_a_at,vowel_sound,"{""id"":""M2-RW005"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":5,""display_text"":""Sat"",""expected_answer"":""sat"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""sat"",""word_family"":""at"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""sat"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,S,at_family,at,s,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:sat,ok,,,,,,,,,,,
M2-RW006,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Man,man,man,easy,1.0,True,False,"M AE N",M,AE,N,CVC,CVC_short_a_an_ap_ag,vowel_sound,"{""id"":""M2-RW006"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":6,""display_text"":""Man"",""expected_answer"":""man"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""man"",""word_family"":""an"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""man"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,M,an_family,an,m,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:man,ok,,,,,,,,,,,
M2-RW007,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Pan,pan,pan,easy,1.0,True,False,"P AE N",P,AE,N,CVC,CVC_short_a_an_ap_ag,vowel_sound,"{""id"":""M2-RW007"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":7,""display_text"":""Pan"",""expected_answer"":""pan"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""pan"",""word_family"":""an"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""pan"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,P,an_family,an,p,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:pan,ok,,,,,,,,,,,
M2-RW008,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Fan,fan,fan,easy,1.0,True,False,"F AE N",F,AE,N,CVC,CVC_short_a_an_ap_ag,vowel_sound,"{""id"":""M2-RW008"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":8,""display_text"":""Fan"",""expected_answer"":""fan"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""fan"",""word_family"":""an"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""fan"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,F,an_family,an,f,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:fan,ok,,,,,,,,,,,
M2-RW009,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Cap,cap,cap,easy,1.0,True,False,"K AE P",K,AE,P,CVC,CVC_short_a_an_ap_ag,vowel_sound,"{""id"":""M2-RW009"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":9,""display_text"":""Cap"",""expected_answer"":""cap"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""cap"",""word_family"":""ap"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""cap"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,C,ap_family,ap,c,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:cap,ok,,,,,,,,,,,
M2-RW010,module2_word_reading_activities_adaptive_v2.csv,modules,module_2,module2_word_reading_activities,display_word_reading,Map,map,map,easy,1.0,True,False,"M AE P",M,AE,P,CVC,CVC_short_a_an_ap_ag,vowel_sound,"{""id"":""M2-RW010"",""module_key"":""module_2"",""activity_type"":""display_word_reading"",""sequence"":10,""display_text"":""Map"",""expected_answer"":""map"",""lesson_step"":""display_word_reading"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_very_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":""module_3"",""fallback_if_letter_probe_fails"":""module_1"",""skip_redundant_after_correct_streak"":4,""repeat_after_same_error_count"":2},""target_word"":""map"",""word_family"":""ap"",""module_1_dependency"":""letter_sound_accuracy"",""fast_paced"":true,""do_not_repeat_until_cooldown"":4,""inactive_policy_note"":""Do not revive original inactive word rows unless they pass ASR validation; inactive bank existed because many items were hard for the ASR."",""fluency_metric_rule"":""not_applicable_word_accuracy_only"",""canonical_target"":""map"",""display_format"":""display_word"",""highlight_target"":false,""highlighted_word"":null,""target_word_index"":null,""split_word_display"":null,""rhyme_group"":null,""sentence_with_target"":null,""accepted_answer_shape"":""single_word""}",display_word,3,1,True,,word_reading,whole_word,AE,M,ap_family,ap,m,,False,0.196,very_easy,"{'word_length': 0.3, 'phoneme_pattern': 'CVC', 'source_difficulty': 0.25}",vowel_sound_very_easy,vowel_error,medium,practice,True,True,1,word_reading:map,ok,,,,,,,,,,,
