"prompt_id","source_file","source_group",module_key,task_type,activity_type,"prompt_text",expected_text,"accepted_answers",difficulty,"points",is_active,"is_mastery_item","expected_phonemes","initial_phoneme","vowel_phonemes","final_phoneme","phoneme_pattern",skill_tag,"error_focus",metadata,item_text_type,"phoneme_count",syllable_estimate,has_cmudict_match,"cmudict_missing_words","skill_group","target_position","target_phoneme","target_grapheme","word_family","rime_unit","onset_unit","enrichment_warnings","needs_manual_review","difficulty_score",difficulty_level,"difficulty_factors",adaptive_bucket,"recommended_for_error_type","remediation_priority","practice_role","mastery_candidate","review_candidate","min_required_attempts","cooldown_group","enrichment_status","word_count","sentence_length_bucket",passage_id,"question_order","question_text",choice_a,choice_b,choice_c,choice_d,"correct_choice","sequence"
CQ-001,"comprehension_questions.csv","assessment",,"comprehension_question",,"Who has a small red kite?","Rosa",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-001"",""content_type"":""comprehension_question"",""passage_id"":""PASS-001"",""sequence"":1,""question_type"":""multiple_choice"",""question_text"":""Who has a small red kite?"",""choice_a"":""Rosa"",""choice_b"":""Lena"",""choice_c"":""Ben"",""choice_d"":""Sam"",""correct_choice"":""A"",""correct_answer"":""Rosa"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-001,1,"Who has a small red kite?","Rosa","Lena","Ben",Sam,A,1
CQ-002,"comprehension_questions.csv","assessment",,"comprehension_question",,"Where does Rosa walk?","The yard",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-002"",""content_type"":""comprehension_question"",""passage_id"":""PASS-001"",""sequence"":2,""question_type"":""multiple_choice"",""question_text"":""Where does Rosa walk?"",""choice_a"":""The garden"",""choice_b"":""The yard"",""choice_c"":""The school"",""choice_d"":""The room"",""correct_choice"":""B"",""correct_answer"":""The yard"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-001,2,"Where does Rosa walk?","The garden","The yard",The school,"The room",B,2
CQ-003,"comprehension_questions.csv","assessment",,"comprehension_question",,"What does Rosa let go up?",The kite,,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-003"",""content_type"":""comprehension_question"",""passage_id"":""PASS-001"",""sequence"":3,""question_type"":""multiple_choice"",""question_text"":""What does Rosa let go up?"",""choice_a"":""The ball"",""choice_b"":""The seed"",""choice_c"":""The kite"",""choice_d"":""The cup"",""correct_choice"":""C"",""correct_answer"":""The kite"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-001,3,"What does Rosa let go up?",The ball,The seed,The kite,The cup,C,3
CQ-004,"comprehension_questions.csv","assessment",,"comprehension_question",,"How does Rosa feel?",Happy,,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-004"",""content_type"":""comprehension_question"",""passage_id"":""PASS-001"",""sequence"":4,""question_type"":""multiple_choice"",""question_text"":""How does Rosa feel?"",""choice_a"":""Sad"",""choice_b"":""Angry"",""choice_c"":""Happy"",""choice_d"":""Tired"",""correct_choice"":""C"",""correct_answer"":""Happy"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-001,4,"How does Rosa feel?",Sad,"Angry",Happy,"Tired",C,4
CQ-005,"comprehension_questions.csv","assessment",,"comprehension_question",,"Who wakes up early?","Lena",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-005"",""content_type"":""comprehension_question"",""passage_id"":""PASS-002"",""sequence"":1,""question_type"":""multiple_choice"",""question_text"":""Who wakes up early?"",""choice_a"":""Rosa"",""choice_b"":""Lena"",""choice_c"":""Sam"",""choice_d"":""Ben"",""correct_choice"":""B"",""correct_answer"":""Lena"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-002,1,"Who wakes up early?","Rosa","Lena",Sam,"Ben",B,1
CQ-006,"comprehension_questions.csv","assessment",,"comprehension_question",,"What does Lena put on?","Her hat",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-006"",""content_type"":""comprehension_question"",""passage_id"":""PASS-002"",""sequence"":2,""question_type"":""multiple_choice"",""question_text"":""What does Lena put on?"",""choice_a"":""Her hat"",""choice_b"":""Her shoes"",""choice_c"":""Her bag"",""choice_d"":""Her coat"",""correct_choice"":""A"",""correct_answer"":""Her hat"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-002,2,"What does Lena put on?","Her hat","Her shoes","Her bag","Her coat",A,2
CQ-007,"comprehension_questions.csv","assessment",,"comprehension_question",,"Where does Lena go?","The garden",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-007"",""content_type"":""comprehension_question"",""passage_id"":""PASS-002"",""sequence"":3,""question_type"":""multiple_choice"",""question_text"":""Where does Lena go?"",""choice_a"":""The yard"",""choice_b"":""The school"",""choice_c"":""The garden"",""choice_d"":""The room"",""correct_choice"":""C"",""correct_answer"":""The garden"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-002,3,"Where does Lena go?","The yard",The school,"The garden","The room",C,3
CQ-008,"comprehension_questions.csv","assessment",,"comprehension_question",,What comes out of the seed?,A leaf,,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-008"",""content_type"":""comprehension_question"",""passage_id"":""PASS-002"",""sequence"":4,""question_type"":""multiple_choice"",""question_text"":""What comes out of the seed?"",""choice_a"":""A kite"",""choice_b"":""A leaf"",""choice_c"":""A cup"",""choice_d"":""A ball"",""correct_choice"":""B"",""correct_answer"":""A leaf"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-002,4,What comes out of the seed?,A kite,A leaf,A cup,A ball,B,4
CQ-009,"comprehension_questions.csv","assessment",,"comprehension_question",,"What does Rosa drink?","Water",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-009"",""content_type"":""comprehension_question"",""passage_id"":""PASS-001"",""sequence"":5,""question_type"":""multiple_choice"",""question_text"":""What does Rosa drink?"",""choice_a"":""Milk"",""choice_b"":""Water"",""choice_c"":""Juice"",""choice_d"":""Tea"",""correct_choice"":""B"",""correct_answer"":""Water"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-001,5,"What does Rosa drink?",Milk,"Water",Juice,Tea,B,5
CQ-010,"comprehension_questions.csv","assessment",,"comprehension_question",,"What does Lena give the seed?","Water",,easy,1.0,"True",,,,,,,"reading_comprehension","story_recall","{""id"":""CQ-010"",""content_type"":""comprehension_question"",""passage_id"":""PASS-002"",""sequence"":5,""question_type"":""multiple_choice"",""question_text"":""What does Lena give the seed?"",""choice_a"":""Water"",""choice_b"":""Sand"",""choice_c"":""Paint"",""choice_d"":""Rice"",""correct_choice"":""A"",""correct_answer"":""Water"",""accepted_answers"":"""",""difficulty"":""easy"",""points"":1,""is_active"":1}","comprehension_question",0,0,False,,"comprehension",,,,,,,,False,0.1,"very_easy",,"comprehension","comprehension",medium,"assessment",False,"True",1,"comprehension",ok,,,PASS-002,5,"What does Lena give the seed?","Water","Sand","Paint","Rice",A,5
