"prompt_id","source_file","source_group","module_key","task_type","activity_type","prompt_text","expected_text","accepted_answers","difficulty","points","is_active","is_mastery_item","expected_phonemes","initial_phoneme","vowel_phonemes","final_phoneme","phoneme_pattern","skill_tag","error_focus","metadata","item_text_type","phoneme_count","syllable_estimate","has_cmudict_match","cmudict_missing_words","skill_group","target_position","target_phoneme","target_grapheme","word_family","rime_unit","onset_unit","enrichment_warnings","needs_manual_review","difficulty_score","difficulty_level","difficulty_factors","adaptive_bucket","recommended_for_error_type","remediation_priority","practice_role","mastery_candidate","review_candidate","min_required_attempts","cooldown_group","enrichment_status","word_count","sentence_length_bucket","title","passage_text","expected_reading_time_seconds","max_time_seconds","story_number","assessment_active"
"PASS-001","reading_passages.csv","assessment","","reading_passages","","Rosa has a small red kite. She walks to the yard and sees a soft wind. Rosa runs fast and lets the kite go up. The kite moves high in the sky. Rosa smiles, sits on the grass, and drinks water. She feels happy because her kite flies well today.","Rosa has a small red kite. She walks to the yard and sees a soft wind. Rosa runs fast and lets the kite go up. The kite moves high in the sky. Rosa smiles, sits on the grass, and drinks water. She feels happy because her kite flies well today.","","easy","","True","","","","","","","assessment_story","passage_reading","{""difficulty"":""easy"",""expected_reading_time_seconds"":45,""word_count"":50,""max_time_seconds"":60,""passage_text"":""Rosa has a small red kite. She walks to the yard and sees a soft wind. Rosa runs fast and lets the kite go up. The kite moves high in the sky. Rosa smiles, sits on the grass, and drinks water. She feels happy because her kite flies well today."",""title"":""Rosa and the Kite"",""is_active"":1,""id"":""PASS-001"",""story_number"":1}","passage","185","75","True","","fluency","","","","","","","","False","0.397","easy","{'word_count': 1.0, 'average_word_length': 0.585, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","unknown_easy","incorrect_general","low","assessment","False","True","1","unknown:general","ok","50","passage_50_words","Rosa and the Kite","Rosa has a small red kite. She walks to the yard and sees a soft wind. Rosa runs fast and lets the kite go up. The kite moves high in the sky. Rosa smiles, sits on the grass, and drinks water. She feels happy because her kite flies well today.","45","60","1","True"
"PASS-002","reading_passages.csv","assessment","","reading_passages","","Lena wakes up early. She puts on her hat and goes to the garden. Lena sees a small seed in a cup. She digs a hole, plants the seed, and gives it water. The sun feels warm. Lena waits each day. Soon, a leaf comes out. Lena smiles at it.","Lena wakes up early. She puts on her hat and goes to the garden. Lena sees a small seed in a cup. She digs a hole, plants the seed, and gives it water. The sun feels warm. Lena waits each day. Soon, a leaf comes out. Lena smiles at it.","","easy","","True","","","","","","","assessment_story","passage_reading","{""difficulty"":""easy"",""expected_reading_time_seconds"":45,""word_count"":50,""max_time_seconds"":60,""passage_text"":""Lena wakes up early. She puts on her hat and goes to the garden. Lena sees a small seed in a cup. She digs a hole, plants the seed, and gives it water. The sun feels warm. Lena waits each day. Soon, a leaf comes out. Lena smiles at it."",""title"":""Lena and the Seed"",""is_active"":1,""id"":""PASS-002"",""story_number"":2}","passage","198","86","True","","fluency","","","","","","","","False","0.407","medium","{'word_count': 1.0, 'average_word_length': 0.635, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","final_consonant_medium","final_sound_error","high","assessment","False","True","3","final_consonant:general","ok","50","passage_50_words","Lena and the Seed","Lena wakes up early. She puts on her hat and goes to the garden. Lena sees a small seed in a cup. She digs a hole, plants the seed, and gives it water. The sun feels warm. Lena waits each day. Soon, a leaf comes out. Lena smiles at it.","45","60","2","True"
"PASS-003","reading_passages.csv","assessment","","reading_passages","","Arthur placed the Round Table in a bright hall with no high seat. Sir Lancelot brought courage, Sir Kay brought order, and Sir Bedivere remembered promises. Each knight shared news from villages before making plans. The table taught them that serving people mattered more than showing off their fine armor.","Arthur placed the Round Table in a bright hall with no high seat. Sir Lancelot brought courage, Sir Kay brought order, and Sir Bedivere remembered promises. Each knight shared news from villages before making plans. The table taught them that serving people mattered more than showing off their fine armor.","","easy","","False","","","","","","","fluency_pacing","unknown","{""is_active"":0}","sentence","0","81","False","Bedivere","fluency","","","","","","","missing_cmudict_words","True","0.435","medium","{'word_count': 1.0, 'average_word_length': 0.6275, 'punctuation': 0.15, 'missing_cmudict': 0.15, 'source_difficulty': 0.25}","unknown_medium","incorrect_general","low","assessment","False","False","1","unknown:general","needs_review","50.0","long","","","","","","False"
"PASS-004","reading_passages.csv","assessment","","reading_passages","","Robin Hood found a baker crying beside the forest road. The baker had lost his pouch of coins. Robin followed bent grass to a hollow log nearby and found the pouch hidden inside. He returned every coin before sunset. The baker shared warm rolls, and everyone praised cleverness used kindly.","Robin Hood found a baker crying beside the forest road. The baker had lost his pouch of coins. Robin followed bent grass to a hollow log nearby and found the pouch hidden inside. He returned every coin before sunset. The baker shared warm rolls, and everyone praised cleverness used kindly.","","easy","","False","","R AA B AH N HH UH D F AW N D AH B EY K ER K R AY IH NG B IH S AY D DH AH F AO R AH S T R OW D DH AH B EY K ER HH AE D L AO S T HH IH Z P AW CH AH V K OY N Z R AA B AH N F AA L OW D B EH N T G R AE S T UW AH HH AA L OW L AO G N IH R B AY AH N D F AW N D DH AH P AW CH HH IH D AH N IH N S AY D HH IY R IH T ER N D EH V ER IY K OY N B IH F AO R S AH N S EH T DH AH B EY K ER SH EH R D W AO R M R OW L Z AH N D EH V R IY W AH N P R EY Z D K L EH V ER N AH S Y UW Z D K AY N D L IY","R","AA AH UH AW AH EY ER AY IH IH AY AH AO AH OW AH EY ER AE AO IH AW AH OY AA AH AA OW EH AE UW AH AA OW AO IH AY AH AW AH AW IH AH IH AY IY IH ER EH ER IY OY IH AO AH EH AH EY ER EH AO OW AH EH IY AH EY EH ER AH UW AY IY","IY","CVCVCCVCCVCCVCVCVCCVVCCVCVCCVCVCVCCCVCCVCVCVCVCCVCCCVCCVCVCCVCCCVCVCCVCVCCVCCCCVCCVVCVCVCVCCVCCVVCCCVCCCVCVCCVCVCVCCVCCVCVCVCCVCVVCVCCVCVCCVCCVCCVCVCVCVCCCVCCCVCCVCCVCCVCVCCCVCCCCVCVCVCCVCCCVCCCV","fluency_pacing","initial_consonant","{""is_active"":0}","sentence","195","81","True","","fluency","","","","","","","","False","0.397","easy","{'word_count': 1.0, 'average_word_length': 0.5875, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","initial_consonant_easy","initial_sound_error","high","assessment","False","True","3","initial_consonant:general","ok","50.0","long","","","","","","False"
"PASS-005","reading_passages.csv","assessment","","reading_passages","","At dawn, Bea watched the harbor alone while clouds rolled over the water. A storm had broken the fishers' lantern, so boats could not see the pier. Bea tied a rope, climbed carefully, and raised a new light. The boats came home at last, and elders praised her brave care.","At dawn, Bea watched the harbor alone while clouds rolled over the water. A storm had broken the fishers' lantern, so boats could not see the pier. Bea tied a rope, climbed carefully, and raised a new light. The boats came home at last, and elders praised her brave care.","","easy","","False","","","","","","","fluency_pacing","unknown","{""is_active"":0}","sentence","0","73","False","fishers'","fluency","","","","","","","missing_cmudict_words","True","0.416","medium","{'word_count': 1.0, 'average_word_length': 0.5325, 'punctuation': 0.15, 'missing_cmudict': 0.15, 'source_difficulty': 0.25}","unknown_medium","incorrect_general","low","assessment","False","False","1","unknown:general","needs_review","50.0","long","","","","","","False"
"PASS-006","reading_passages.csv","assessment","","reading_passages","","Odysseus guided his crew through a sea covered with thick fog. Instead of rushing, he listened for waves breaking against hidden rocks. He told the sailors to row slowly and quietly and count each stroke together. By morning, they had passed safely, grateful that patience had led them home again.","Odysseus guided his crew through a sea covered with thick fog. Instead of rushing, he listened for waves breaking against hidden rocks. He told the sailors to row slowly and quietly and count each stroke together. By morning, they had passed safely, grateful that patience had led them home again.","","easy","","False","","OW D IH S IY AH S G AY D AH D HH IH Z K R UW TH R UW AH S IY K AH V ER D W IH DH TH IH K F AA G IH N S T EH D AH V R AH SH IH NG HH IY L IH S AH N D F AO R W EY V Z B R EY K IH NG AH G EH N S T HH IH D AH N R AA K S HH IY T OW L D DH AH S EY L ER Z T UW R OW S L OW L IY AH N D K W AY AH T L IY AH N D K AW N T IY CH S T R OW K T AH G EH DH ER B AY M AO R N IH NG DH EY HH AE D P AE S T S EY F L IY G R EY T F AH L DH AE T P EY SH AH N S HH AE D L EH D DH EH M HH OW M AH G EH N","OW","OW IH IY AH AY AH IH UW UW AH IY AH ER IH IH AA IH EH AH AH IH IY IH AH AO EY EY IH AH EH IH AH AA IY OW AH EY ER UW OW OW IY AH AY AH IY AH AW IY OW AH EH ER AY AO IH EY AE AE EY IY EY AH AE EY AH AE EH EH OW AH EH","N","VCVCVVCCVCVCCVCCCVCCVVCVCVCVCCVCCVCCVCVCCCVCVCCVCVCCVCVCVCCCVCCVCCCCVCVCVCVCCCCVCVCCVCCCVCVCCCVCVCVCCVCVCCVCVVCCCCVVCCVVCCCVCCVCCCCVCCVCVCVCVCVCCVCCVCVCCVCCCVCCVCCVCCVCCVCCVCVCCCVCCVCCVCCVCVCVC","fluency_pacing","final_consonant","{""is_active"":0}","sentence","193","79","True","","fluency","","","","","","","","False","0.4","medium","{'word_count': 1.0, 'average_word_length': 0.6025, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","final_consonant_medium","final_sound_error","high","assessment","False","True","3","final_consonant:general","ok","50.0","long","","","","","","False"
"PASS-007","reading_passages.csv","assessment","","reading_passages","","Under an old mango tree, Lila heard elders tell how fireflies guide lost paths. That evening, her brother dropped a woven basket near the creek. Lila waited until bright small lights blinked above the reeds. She followed them, found the basket, and thanked the forest by leaving fruit seeds nearby.","Under an old mango tree, Lila heard elders tell how fireflies guide lost paths. That evening, her brother dropped a woven basket near the creek. Lila waited until bright small lights blinked above the reeds. She followed them, found the basket, and thanked the forest by leaving fruit seeds nearby.","","easy","","False","","AH N D ER AE N OW L D M AE NG G OW T R IY L IY L AH HH ER D EH L D ER Z T EH L HH AW F AY ER F L AY Z G AY D L AO S T P AE DH Z DH AE T IY V N IH NG HH ER B R AH DH ER D R AA P T AH W OW V AH N B AE S K AH T N IH R DH AH K R IY K L IY L AH W EY T IH D AH N T IH L B R AY T S M AO L L AY T S B L IH NG K T AH B AH V DH AH R IY D Z SH IY F AA L OW D DH EH M F AW N D DH AH B AE S K AH T AH N D TH AE NG K T DH AH F AO R AH S T B AY L IY V IH NG F R UW T S IY D Z N IH R B AY","AH","AH ER AE OW AE OW IY IY AH ER EH ER EH AW AY ER AY AY AO AE AE IY IH ER AH ER AA AH OW AH AE AH IH AH IY IY AH EY IH AH IH AY AO AY IH AH AH AH IY IY AA OW EH AW AH AE AH AH AE AH AO AH AY IY IH UW IY IH AY","AY","VCCVVCVCCCVCCVCCVCVCVCVCVCCVCCVCCVCVVCCVCCVCCVCCCVCCCVCVCCVCCVCCVCVCCVCCVCVCVCCVCCVCCVCCVCCVCCVCVCVCVCVCCVCCCVCCCVCCVCCCCVCCCVCVCCVCVCCCVCVCVCCVCCVCCCVCVCCVCVCCCVCCCCVCVCVCCCVCVCVCCCVCCVCCCVCCV","fluency_pacing","unknown","{""is_active"":0}","sentence","193","76","True","","fluency","","","","","","","","False","0.4","medium","{'word_count': 1.0, 'average_word_length': 0.6025, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","unknown_medium","incorrect_general","low","assessment","False","True","1","unknown:general","ok","50.0","long","","","","","","False"
"PASS-008","reading_passages.csv","assessment","","reading_passages","","A proud carabao laughed because a small turtle walked slowly on the trail. Later, the carabao's heavy cart sank deep in mud. The turtle called birds, and they dropped dry twigs beneath the wheel. Together they freed the cart. The carabao bowed, learning that small friends can solve large problems.","A proud carabao laughed because a small turtle walked slowly on the trail. Later, the carabao's heavy cart sank deep in mud. The turtle called birds, and they dropped dry twigs beneath the wheel. Together they freed the cart. The carabao bowed, learning that small friends can solve large problems.","","easy","","False","","","","","","","fluency_pacing","unknown","{""is_active"":0}","sentence","0","75","False","carabao|carabao's|carabao","fluency","","","","","","","missing_cmudict_words","True","0.43","medium","{'word_count': 1.0, 'average_word_length': 0.6025, 'punctuation': 0.15, 'missing_cmudict': 0.15, 'source_difficulty': 0.25}","unknown_medium","incorrect_general","low","assessment","False","False","1","unknown:general","needs_review","50.0","long","","","","","","False"
"PASS-009","reading_passages.csv","assessment","","reading_passages","","Mrs. Cruz placed a blue bookmark inside the class library book during reading time. After recess, it was gone. Sam noticed blue dust near the art shelf and a dragon book lying open. Maya lifted her drawing paper and smiled. The bookmark was there, helping her shape bright dragon wings.","Mrs. Cruz placed a blue bookmark inside the class library book during reading time. After recess, it was gone. Sam noticed blue dust near the art shelf and a dragon book lying open. Maya lifted her drawing paper and smiled. The bookmark was there, helping her shape bright dragon wings.","","easy","","False","","M IH S IH Z K R UW Z P L EY S T AH B L UW B UH K M AA R K IH N S AY D DH AH K L AE S L AY B R EH R IY B UH K D UH R IH NG R IY D IH NG T AY M AE F T ER R IH S EH S IH T W AA Z G AO N S AE M N OW T AH S T B L UW D AH S T N IH R DH AH AA R T SH EH L F AH N D AH D R AE G AH N B UH K L AY IH NG OW P AH N M AY AH L IH F T AH D HH ER D R AO IH NG P EY P ER AH N D S M AY L D DH AH B UH K M AA R K W AA Z DH EH R HH EH L P IH NG HH ER SH EY P B R AY T D R AE G AH N W IH NG Z","M","IH IH UW EY AH UW UH AA IH AY AH AE AY EH IY UH UH IH IY IH AY AE ER IH EH IH AA AO AE OW AH UW AH IH AH AA EH AH AH AE AH UH AY IH OW AH AY AH IH AH ER AO IH EY ER AH AY AH UH AA AA EH EH IH ER EY AY AE AH IH","Z","CVCVCCCVCCCVCCVCCVCVCCVCCVCCVCCVCCVCCVCCVCVCVCCVCVCCVCVCCVCVCCVCVCVCVCCVCCVCCVCCVCVCCCCVCVCCCVCCVVCCCVCCVCCVCCVCVCCVCCVVCVCVCCVVCVCCVCCVCCVVCCVCVVCCCCVCCCVCVCCVCCCVCCVCCVCCVCCVCVCCCVCCCVCVCCVCC","fluency_pacing","final_consonant","{""is_active"":0}","sentence","193","75","True","","fluency","","","","","","","","False","0.394","easy","{'word_count': 1.0, 'average_word_length': 0.5725, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","final_consonant_easy","final_sound_error","high","assessment","False","True","3","final_consonant:general","ok","50.0","long","","","","","","False"
"PASS-010","reading_passages.csv","assessment","","reading_passages","","After many hot days, the community garden drooped in the sunshine. Mateo brought a small pail, Asha carried seedlings, and Grandpa Jun showed them how to loosen dry soil. Neighbors carefully poured saved rainwater from a barrel. By Friday, green shoots stood tall, and everyone planned warm vegetable soup together.","After many hot days, the community garden drooped in the sunshine. Mateo brought a small pail, Asha carried seedlings, and Grandpa Jun showed them how to loosen dry soil. Neighbors carefully poured saved rainwater from a barrel. By Friday, green shoots stood tall, and everyone planned warm vegetable soup together.","","easy","","False","","AE F T ER M EH N IY HH AA T D EY Z DH AH K AH M Y UW N AH T IY G AA R D AH N D R UW P T IH N DH AH S AH N SH AY N M AA T EY OW B R AO T AH S M AO L P EY L AA SH AH K AE R IY D S IY D L IH NG Z AH N D G R AE N D P AA JH AH N SH OW D DH EH M HH AW T UW L UW S AH N D R AY S OY L N EY B ER Z K EH R F AH L IY P AO R D S EY V D R EY N W AO T ER F R AH M AH B AE R AH L B AY F R AY D IY G R IY N SH UW T S S T UH D T AO L AH N D EH V R IY W AH N P L AE N D W AO R M V EH JH T AH B AH L S UW P T AH G EH DH ER","AE","AE ER EH IY AA EY AH AH UW AH IY AA AH UW IH AH AH AY AA EY OW AO AH AO EY AA AH AE IY IY IH AH AE AA AH OW EH AW UW UW AH AY OY EY ER EH AH IY AO EY EY AO ER AH AH AE AH AY AY IY IY UW UH AO AH EH IY AH AE AO EH AH AH UW AH EH ER","ER","VCCVCVCVCVCCVCCVCVCCVCVCVCVCCVCCCVCCVCCVCVCCVCCVCVVCCVCVCCVCCVCVCVCVCVCCVCCVCCVCCCCVCCCVCVCCVCCVCCVCVCVCVCCCVCVCCVCVCCVCCVCVCVCCCVCCCVCCVCVCCVCVCVCVCCVCCVCVCCVCCVCCCCVCCVCVCCVCCVCVCCCVCCCVCCCVCCVCVCCVCCVCVCV","fluency_pacing","unknown","{""is_active"":0}","sentence","207","85","True","","fluency","","","","","","","","False","0.408","medium","{'word_count': 1.0, 'average_word_length': 0.6425, 'punctuation': 0.15, 'missing_cmudict': 0.0, 'source_difficulty': 0.25}","unknown_medium","incorrect_general","low","assessment","False","True","1","unknown:general","ok","50.0","long","","","","","","False"
