prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket
M1-R001,module_activity_selection_rules.csv,modules,module_1,module_activity_selection_rules,letter_pair_identification,letter_pair_identification,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""letter_pair_identification"",""id"":""M1-R001"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_1"",""practice_item_count"":5}",phrase,0,0,False,,letter_sound,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M1-R002,module_activity_selection_rules.csv,modules,module_1,module_activity_selection_rules,highlighted_first_letter,highlighted_first_letter,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""highlighted_first_letter"",""id"":""M1-R002"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_1"",""practice_item_count"":5}",phrase,0,0,False,,letter_sound,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M1-R003,module_activity_selection_rules.csv,modules,module_1,module_activity_selection_rules,first_letter_identification,first_letter_identification,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""first_letter_identification"",""id"":""M1-R003"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_1"",""practice_item_count"":5}",phrase,0,0,False,,letter_sound,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M1-R004,module_activity_selection_rules.csv,modules,module_1,module_activity_selection_rules,missing_first_letter,missing_first_letter,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""missing_first_letter"",""id"":""M1-R004"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_1"",""practice_item_count"":5}",phrase,0,0,False,,letter_sound,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M1-R005,module_activity_selection_rules.csv,modules,module_1,module_activity_selection_rules,mastery_check,,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"": ""mastery_check"", ""id"": ""M1-R005"", ""is_active"": 1, ""mastery_item_count"": 10, ""module_key"": ""module_1"", ""practice_item_count"": 0}",phrase,0,0,False,,letter_sound,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,mastery_check,True,True,1,unknown:general,ok,0.0,short
M2-R001,module_activity_selection_rules.csv,modules,module_2,module_activity_selection_rules,display_word_reading,display_word_reading,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""display_word_reading"",""id"":""M2-R001"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_2"",""practice_item_count"":5}",phrase,0,0,False,,word_reading,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M2-R002,module_activity_selection_rules.csv,modules,module_2,module_activity_selection_rules,split_word_reading,split_word_reading,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""split_word_reading"",""id"":""M2-R002"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_2"",""practice_item_count"":5}",phrase,0,0,False,,word_reading,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M2-R003,module_activity_selection_rules.csv,modules,module_2,module_activity_selection_rules,highlighted_rhyme_word,highlighted_rhyme_word,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""highlighted_rhyme_word"",""id"":""M2-R003"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_2"",""practice_item_count"":5}",phrase,0,0,False,,word_reading,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M2-R004,module_activity_selection_rules.csv,modules,module_2,module_activity_selection_rules,highlighted_sentence_word,highlighted_sentence_word,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"":""highlighted_sentence_word"",""id"":""M2-R004"",""is_active"":1,""mastery_item_count"":0,""module_key"":""module_2"",""practice_item_count"":5}",phrase,0,0,False,,word_reading,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,unknown,False,True,1,unknown:general,ok,0.0,short
M2-R005,module_activity_selection_rules.csv,modules,module_2,module_activity_selection_rules,mastery_check,,,,,,True,,,,,,,fluency_pacing,unknown,"{""activity_type"": ""mastery_check"", ""id"": ""M2-R005"", ""is_active"": 1, ""mastery_item_count"": 10, ""module_key"": ""module_2"", ""practice_item_count"": 0}",phrase,0,0,False,,word_reading,,,,,,,,False,0.0,very_easy,"{'word_count': 0.0, 'average_word_length': 0.0, 'punctuation': 0.0, 'missing_cmudict': 0.0}",unknown_very_easy,incorrect_general,low,mastery_check,True,True,1,unknown:general,ok,0.0,short
