prompt_id,source_file,source_group,module_key,task_type,activity_type,prompt_text,expected_text,accepted_answers,difficulty,points,is_active,is_mastery_item,expected_phonemes,initial_phoneme,vowel_phonemes,final_phoneme,phoneme_pattern,skill_tag,error_focus,metadata,item_text_type,phoneme_count,syllable_estimate,has_cmudict_match,cmudict_missing_words,skill_group,target_position,target_phoneme,target_grapheme,word_family,rime_unit,onset_unit,enrichment_warnings,needs_manual_review,difficulty_score,difficulty_level,difficulty_factors,adaptive_bucket,recommended_for_error_type,remediation_priority,practice_role,mastery_candidate,review_candidate,min_required_attempts,cooldown_group,enrichment_status,word_count,sentence_length_bucket,fluency_metric_rule,target_read_time_seconds,min_fluent_time_seconds,max_fluent_time_seconds,target_wcpm,min_expected_wcpm,max_expected_wcpm,pace_feedback_rule,pace_mastery_required
M1-HR001,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Aa,A,A|a,easy,1.0,True,False,AE,,AE,,V,letter_sound,vowel_sound,"{""id"":""M1-HR001"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":1,""display_text"":""Aa"",""expected_answer"":""A"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""apple"",""display_grapheme"":""Aa"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""short a"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""A"",""target_letter"":""A"",""target_word"":""apple"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,AE,A,,,A,,False,0.18,easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'vowel_sound', 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,medium,practice,True,True,1,letter_sound:A,ok,,,,,,,,,,,
M1-HR002,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Bb,B,B|b,easy,1.0,False,False,B,B,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR002"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":2,""display_text"":""Bb"",""expected_answer"":""B"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":false,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""bag"",""display_grapheme"":""Bb"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""buh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":0,""mastery_candidate"":false,""inactive_reason"":""ASR-hard isolated letter; P/D/B/Z are easily confused or rejected by current ASR."",""asr_hard_letter"":true,""use_for_live_scoring"":false,""recommended_use"":""Keep inactive until ASR model improves or letter-specific fallback scorer exists."",""canonical_target"":""B"",""target_letter"":""B"",""target_word"":""bag"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,B,B,,,B,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,False,False,1,letter_sound:B,inactive_asr_hard_letter,,,,,,,,,,,
M1-HR003,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Cc,C,C|c,easy,1.0,True,False,K,K,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR003"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":3,""display_text"":""Cc"",""expected_answer"":""C"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""cat"",""display_grapheme"":""Cc"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""kuh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""C"",""target_letter"":""C"",""target_word"":""cat"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,K,C,,,C,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,True,True,1,letter_sound:C,ok,,,,,,,,,,,
M1-HR004,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Dd,D,D|d,easy,1.0,False,False,D,D,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR004"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":4,""display_text"":""Dd"",""expected_answer"":""D"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":false,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""dog"",""display_grapheme"":""Dd"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""duh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":0,""mastery_candidate"":false,""inactive_reason"":""ASR-hard isolated letter; P/D/B/Z are easily confused or rejected by current ASR."",""asr_hard_letter"":true,""use_for_live_scoring"":false,""recommended_use"":""Keep inactive until ASR model improves or letter-specific fallback scorer exists."",""canonical_target"":""D"",""target_letter"":""D"",""target_word"":""dog"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,D,D,,,D,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,False,False,1,letter_sound:D,inactive_asr_hard_letter,,,,,,,,,,,
M1-HR005,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Ee,E,E|e,easy,1.0,True,False,EH,,EH,,V,letter_sound,vowel_sound,"{""id"":""M1-HR005"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":5,""display_text"":""Ee"",""expected_answer"":""E"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""egg"",""display_grapheme"":""Ee"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""short e"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""E"",""target_letter"":""E"",""target_word"":""egg"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,EH,E,,,E,,False,0.18,easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'vowel_sound', 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,medium,practice,True,True,1,letter_sound:E,ok,,,,,,,,,,,
M1-HR006,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Ff,F,F|f,easy,1.0,True,False,F,F,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR006"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":6,""display_text"":""Ff"",""expected_answer"":""F"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""fan"",""display_grapheme"":""Ff"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""fff"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""F"",""target_letter"":""F"",""target_word"":""fan"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,F,F,,,F,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,True,True,1,letter_sound:F,ok,,,,,,,,,,,
M1-HR007,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Gg,G,G|g,easy,1.0,True,False,G,G,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR007"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":7,""display_text"":""Gg"",""expected_answer"":""G"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""gum"",""display_grapheme"":""Gg"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""guh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""G"",""target_letter"":""G"",""target_word"":""gum"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,G,G,,,G,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,True,True,1,letter_sound:G,ok,,,,,,,,,,,
M1-HR008,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Hh,H,H|h,easy,1.0,True,False,HH,HH,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR008"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":8,""display_text"":""Hh"",""expected_answer"":""H"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""hat"",""display_grapheme"":""Hh"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""huh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""H"",""target_letter"":""H"",""target_word"":""hat"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,HH,H,,,H,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,True,True,1,letter_sound:H,ok,,,,,,,,,,,
M1-HR009,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Ii,I,I|i,easy,1.0,True,False,IH,,IH,,V,letter_sound,vowel_sound,"{""id"":""M1-HR009"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":9,""display_text"":""Ii"",""expected_answer"":""I"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""vowel_sound_easy"",""error_focus"":""vowel_sound"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""itch"",""display_grapheme"":""Ii"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""short i"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""I"",""target_letter"":""I"",""target_word"":""itch"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,IH,I,,,I,,False,0.18,easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'vowel_sound', 'source_difficulty': 0.25}",vowel_sound_easy,vowel_error,medium,practice,True,True,1,letter_sound:I,ok,,,,,,,,,,,
M1-HR010,module1_letter_sound_activities_adaptive_v2.csv,modules,module_1,module1_letter_sound_activities,letter_pair_identification,Jj,J,J|j,easy,1.0,True,False,JH,JH,,,C,letter_sound,initial_consonant,"{""id"":""M1-HR010"",""module_key"":""module_1"",""activity_type"":""letter_pair_identification"",""sequence"":10,""display_text"":""Jj"",""expected_answer"":""J"",""lesson_step"":""letter_pair_identification"",""mastery_tracking"":true,""mastery_weight"":1,""adaptive_bucket"":""initial_consonant_very_easy"",""error_focus"":""initial_consonant"",""agent_behavior"":{""fast_correct_streak"":""advance_or_skip_redundant_practice"",""repeated_error"":""give_short_coaching_then_remediate"",""slow_progress"":""repeat_with_new_item_same_skill""},""route"":{""next_if_mastered"":null,""remediate_to"":""module_1"",""skip_redundant_after_correct_streak"":3,""repeat_after_same_error_count"":2},""cue_word"":""jam"",""display_grapheme"":""Jj"",""letter_case_display"":""upper_lower_pair"",""sound_hint"":""juh"",""fast_paced"":true,""do_not_repeat_until_cooldown"":3,""is_active"":1,""asr_hard_letter"":false,""use_for_live_scoring"":true,""canonical_target"":""J"",""target_letter"":""J"",""target_word"":""jam"",""display_format"":""letter_pair"",""highlight_target"":false,""highlighted_letter"":null,""accepted_answer_shape"":""single_letter""}",letter_pair,1,1,False,,letter_sound,letter_pair,JH,J,,,J,,False,0.12,very_easy,"{'letter_case_pair': 0.1, 'phoneme_type': 'initial_consonant', 'source_difficulty': 0.25}",initial_consonant_very_easy,initial_sound_error,medium,practice,True,True,1,letter_sound:J,ok,,,,,,,,,,,
